timestep,portfolio_value,hedge_ratio,log_prob,entropy,std0,mahal_sq,confidence,reward
100,1008300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,8300.0
101,992800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-15500.0
102,991300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1500.0
103,996700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,5400.0
104,998200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1500.0
105,992600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-5600.0
106,993800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1200.0
107,997000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3200.0
108,994300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2700.0
109,995300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1000.0
110,989000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-6300.0
111,992700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3700.0
112,996600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3900.0
113,990700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-5900.0
114,990500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-200.0
115,986600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3900.0
116,988600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2000.0
117,989700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1100.0
118,992300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2600.0
119,998600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,6300.0
120,1009600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,11000.0
121,1008900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-700.0
122,1007400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1500.0
123,1004900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2500.0
124,996600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-8300.0
125,992500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4100.0
126,994200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1700.0
127,992200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2000.0
128,990200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-2000.0
129,993200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3000.0
130,993900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,700.0
131,994400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,500.0
132,996800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2400.0
133,999200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2400.0
134,997600.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1600.0
135,993200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4400.0
136,992500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-700.0
137,994900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2400.0
138,991500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3400.0
139,992200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,700.0
140,991500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-700.0
141,987700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3800.0
142,992400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4700.0
143,979400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-13000.0
144,971200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-8200.0
145,970400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-800.0
146,971100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,700.0
147,975400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4300.0
148,971500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3900.0
149,969700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1800.0
150,973000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3300.0
151,976100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3100.0
152,968800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-7300.0
153,972800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4000.0
154,972200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-600.0
155,976100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3900.0
156,983300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,7200.0
157,987400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4100.0
158,993100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,5700.0
159,993000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-100.0
160,992700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-300.0
161,994700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,2000.0
162,998400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3700.0
163,994000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4400.0
164,993800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-200.0
165,989300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4500.0
166,992400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3100.0
167,990500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1900.0
168,990200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-300.0
169,989200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1000.0
170,990800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1600.0
171,985900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-4900.0
172,982100.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-3800.0
173,974300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-7800.0
174,985200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10900.0
175,988300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3100.0
176,995400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,7100.0
177,998400.0,0.0,-0.9586064219474792,1.4229326248168945,,,,3000.0
178,999500.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1100.0
179,1005000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,5500.0
180,1015900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,10900.0
181,1005800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-10100.0
182,1000200.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-5600.0
183,1001300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,1100.0
184,1020300.0,0.0,-0.9586064219474792,1.4229326248168945,,,,19000.0
185,1018900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1400.0
186,1030700.0,0.0,-0.9586064219474792,1.4229326248168945,,,,11800.0
187,1035000.0,0.0,-0.9586064219474792,1.4229326248168945,,,,4300.0
188,1027800.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-7200.0
189,1025900.0,0.0,-0.9586064219474792,1.4229326248168945,,,,-1900.0
