date,spot_close,fut_close,volume,next_day_pred,next_month_pred,ffb_price,oer,production,spot_ret,fut_ret,log_ret_spot,log_ret_fut,basis,basis_pct,spot_ma_5,fut_ma_5,spot_std_5,fut_std_5,basis_mean_5,basis_std_5,spot_ma_20,fut_ma_20,spot_std_20,fut_std_20,basis_mean_20,basis_std_20,spot_ma_60,fut_ma_60,spot_std_60,fut_std_60,basis_mean_60,basis_std_60,hr_ols_5,hr_ols_20,hr_ols_60,volume_z,dayofweek,month,sin_doy,cos_doy,is_month_end,hedge_ratio_target
2005-06-30 21:00:00,1709.57,1412.0,2508.0,1374.0,1419.75,42.83302110141619,19.68,1253581.0,0.0,0.0028409090909091717,0.0,0.00283688133519977,-297.56999999999994,-0.17406131366366978,1709.57,1413.55,0.0,5.821297106316015,-296.0199999999999,5.821297106315668,1709.57,1410.8875,0.0,19.992510933373175,-298.68249999999995,19.992510933373264,1709.57,1403.2416666666666,0.0,18.352075037774085,-306.32833333333326,18.35207503777406,0.0,0.0,1.4060443531497317e-12,-0.856670057481589,3,6,0.02795029824021032,-0.999609314096404,1,0.0
2005-07-01 21:00:00,1709.57,1418.0,2800.75,1372.0,1419.4583333333333,42.83302110141619,19.68,1253581.0,0.0,0.004249291784702569,0.0,0.004240289038885514,-291.56999999999994,-0.1705516591891528,1709.57,1413.8,0.0,6.016643582596798,-295.7699999999999,6.01664358259646,1709.57,1412.9625,0.0,18.31922254009916,-296.60749999999996,18.319222540099254,1709.57,1402.9916666666666,0.0,18.039326546739133,-306.57833333333326,18.03932654673911,1.607946434073542e-11,-1.4606038875352041e-12,1.4552202609104134e-12,-0.4993849748842398,4,7,0.01075130776352193,-0.9999422030204416,0,-1.4606038875352041e-12
2005-07-02 21:00:00,1709.57,1424.0,3093.5,1370.0,1419.1666666666667,42.83302110141619,19.68,1253581.0,0.0,0.004231311706629048,0.0,0.004222384879848384,-285.56999999999994,-0.16704200471463582,1709.57,1416.8,0.0,6.723094525588897,-292.7699999999999,6.7230945255885795,1709.57,1415.25,0.0,16.525100525213567,-294.3199999999999,16.525100525213652,1709.57,1403.2083333333333,0.0,18.21436424835497,-306.3616666666666,18.214364248354947,0.0,0.0,0.0,-0.20118691129201932,5,7,-0.00645086419810515,-0.9999791929590823,0,0.0
2005-07-03 21:00:00,1709.57,1430.0,3386.25,1368.0,1418.875,42.83302110141619,19.68,1253581.0,0.0,0.004213483146067398,0.0,0.0042046312820316345,-279.56999999999994,-0.16353235024011883,1709.57,1418.4,0.0,8.876936408469028,-291.16999999999996,8.876936408468815,1709.57,1417.75,0.0,14.57918487361141,-291.81999999999994,14.579184873611487,1709.57,1403.4916666666666,0.0,18.499253687801843,-306.07833333333326,18.499253687801815,7.386758999170709e-12,2.306110126570538e-12,0.0,0.06619979858950549,6,7,-0.023651127245231586,-0.9997202729664083,0,2.306110126570538e-12
2005-07-04 21:00:00,1709.57,1436.0,3679.0,1366.0,1418.5833333333333,42.83302110141619,19.68,1253581.0,0.0,0.00419580419580412,0.0,0.004187026354216528,-273.56999999999994,-0.16002269576560185,1709.57,1424.0,0.0,9.48683298050528,-285.56999999999994,9.4868329805051,1709.57,1420.7,0.0,11.555244878864269,-288.86999999999995,11.555244878864313,1709.57,1403.825,0.0,18.904213278023956,-305.74499999999995,18.90421327802393,6.467517879273962e-12,3.671032439013501e-12,-1.3251106864825806e-12,0.39418935914841036,0,7,-0.04084439154329611,-0.9991655196610109,0,3.671032439013501e-12
2005-07-05 21:00:00,1709.57,1429.0,3169.0,1364.0,1418.2916666666667,42.83302110141619,19.68,1253581.0,0.0,-0.004874651810584996,0.0,-0.004886571678301976,-280.56999999999994,-0.16411729265253833,1709.57,1427.4,0.0,6.7675697262756485,-282.16999999999996,6.767569726275401,1709.57,1422.4,0.0,9.967182994311758,-287.16999999999996,9.9671829943118,1709.57,1403.9875,0.0,19.08014014312673,-305.5824999999999,19.08014014312671,0.0,-4.934028632966286e-12,-1.3007871937308383e-12,-0.3069220721602779,1,7,-0.05802556932878035,-0.9983150972033183,0,-4.934028632966286e-12
2005-07-06 21:00:00,1709.57,1411.0,3210.0,1362.0,1418.0,42.83302110141619,19.68,1253581.0,0.0,-0.01259622113365988,0.0,-0.012676226077052988,-298.56999999999994,-0.17464625607608927,1709.57,1426.0,0.0,9.407443861113517,-283.56999999999994,9.407443861113356,1709.57,1422.5,0.0,9.834819988719595,-287.0699999999999,9.834819988719639,1709.57,1403.7958333333333,0.0,18.94832914163904,-305.77416666666664,18.948329141639014,0.0,5.067732687338071e-12,0.0,-0.20282388767875273,2,7,-0.07518957641475855,-0.9971692572470178,0,5.067732687338071e-12
2005-07-07 21:00:00,1709.57,1417.0,1628.0,1420.0,1377.0,42.83302110141619,19.68,1253581.0,0.0,0.00425230333097093,0.0,0.004243287837866205,-292.56999999999994,-0.1711366016015723,1709.57,1424.6,0.0,10.261578825892348,-284.9699999999999,10.261578825892213,1709.57,1422.7375,0.0,9.629476061059526,-286.8324999999999,9.629476061059568,1709.57,1403.65,0.0,18.809662140254108,-305.91999999999996,18.809662140254083,0.0,0.0,-1.3384661230245817e-12,-2.041909390536636,3,7,-0.09233133369539122,-0.9957283388645872,0,0.0
2005-07-08 21:00:00,1709.57,1418.5,1572.5,1402.0,1413.5,42.83302110141619,19.68,1253581.0,0.0,0.0010585744530697827,0.0,0.0010580145582252953,-291.06999999999994,-0.17025918798294304,1709.57,1422.3,0.0,10.034938963441778,-287.2699999999999,10.034938963441656,1709.57,1422.8875,0.0,9.533691986566849,-286.68249999999995,9.533691986566891,1709.57,1403.475,0.0,18.61767999710428,-306.09499999999997,18.617679997104247,0.0,-5.392923947185656e-12,1.3662124872953028e-12,-1.8066288613457566,4,7,-0.10944576864891556,-0.993992768446958,0,-5.392923947185656e-12
2005-07-09 21:00:00,1709.57,1420.0,1517.0,1384.0,1450.0,42.83302110141619,19.68,1253581.0,0.0,0.0010574550581601283,0.0,0.0010568963464008263,-289.56999999999994,-0.16938177436431381,1709.57,1419.1,0.0,6.503845016603778,-290.4699999999999,6.503845016603602,1709.57,1422.95,0.0,9.509206065702442,-286.61999999999995,9.509206065702482,1709.57,1403.725,0.0,18.738821526536565,-305.8449999999999,18.73882152653654,0.0,-5.420732940154299e-12,0.0,-1.6295104875377597,5,7,-0.12652781683868314,-0.9919630595773397,0,-5.420732940154299e-12
2005-07-10 21:00:00,1709.57,1421.5,1461.5,1405.5,1422.5,42.83302110141619,19.68,1253581.0,0.0,0.0010563380281689572,0.0,0.0010557804957480599,-288.06999999999994,-0.16850436074568456,1709.57,1417.6,0.0,4.0527768258320895,-291.9699999999999,4.052776825831834,1709.57,1422.925,0.0,9.512491787118247,-286.64499999999987,9.51249178711829,1709.57,1403.85,0.0,18.83330083493022,-305.7199999999999,18.833300834930196,3.543845413300557e-11,0.0,0.0,-1.4898177248059532,6,7,-0.1435724234118113,-0.9896398128792412,0,0.0
2005-07-11 21:00:00,1709.57,1423.0,1406.0,1427.0,1395.0,42.83302110141619,19.68,1253581.0,0.0,0.0010552233556102575,0.0,0.0010546669987974155,-286.56999999999994,-0.1676269471270553,1709.57,1420.0,0.0,2.3717082451266664,-289.56999999999994,2.371708245126181,1709.57,1422.425,0.0,9.213155639741322,-287.1449999999999,9.21315563974138,1709.57,1404.1166666666666,0.0,18.991270667912694,-305.4533333333332,18.99127066791267,0.0,0.0,0.0,-1.3814143708899451,0,7,-0.16057454459499376,-0.9870237158387383,0,0.0
2005-07-12 21:00:00,1709.57,1420.0,1224.0,1411.0,1435.0,42.83302110141619,19.68,1253581.0,0.0,-0.0021082220660576523,0.0,-0.0021104474945454754,-289.56999999999994,-0.16938177436431381,1709.57,1420.6,0.0,1.7102631376492317,-288.9699999999999,1.7102631376485649,1709.57,1421.625,0.0,8.649802249032074,-287.94499999999994,8.649802249032167,1709.57,1404.4375,0.0,19.095745876849655,-305.13249999999994,19.095745876849627,1.9900055013139038e-10,0.0,0.0,-1.391056109746724,1,7,-0.17752914918703497,-0.984115542601034,0,0.0
2005-07-13 21:00:00,1709.57,1419.0,1800.0,1409.48,1434.04,42.83302110141619,19.68,1253581.0,0.0,-0.0007042253521126751,0.0,-0.0007044734352641413,-290.56999999999994,-0.1699667167767333,1709.57,1420.7,0.0,1.565247584250453,-288.86999999999995,1.565247584249691,1709.57,1420.575,0.0,7.500043859520339,-288.99499999999995,7.500043859520482,1709.57,1404.8458333333333,0.0,19.141538582198283,-304.72416666666663,19.141538582198258,0.0,-8.71402743467901e-12,0.0,-0.8346007711015325,2,7,-0.19443122004766195,-0.9809161537413774,0,-8.71402743467901e-12
2005-07-14 21:00:00,1709.57,1418.0,648.0,1407.96,1433.08,42.83302110141619,19.68,1253581.0,0.0,-0.0007047216349541641,0.0,-0.0007049700679697679,-291.56999999999994,-0.1705516591891528,1709.57,1420.3,0.0,1.987460691435641,-289.2699999999999,1.987460691435054,1709.57,1419.8625,0.0,6.9922301803307985,-289.70749999999987,6.992230180330972,1709.57,1405.3416666666667,0.0,19.08960620263686,-304.2283333333333,19.08960620263683,1.4736116686946925e-10,0.0,1.299497457743741e-12,-1.6595621938394418,3,7,-0.2112757555821793,-0.9774264960104055,0,0.0
2005-07-15 21:00:00,1709.57,1416.25,855.5,1406.44,1432.12,42.83302110141619,19.68,1253581.0,0.0,-0.0012341325811001669,0.0,-0.0012348947498566076,-293.31999999999994,-0.17157530841088692,1709.57,1419.25,0.0,2.5124689052805844,-290.31999999999994,2.512468905280125,1709.57,1419.45,0.0,6.947453149403025,-290.11999999999995,6.947453149403213,1709.57,1405.9125,0.0,18.890845296517288,-303.65749999999997,18.89084529651726,0.0,0.0,0.0,-1.3247195773849416,4,7,-0.2280577712215198,-0.9736476020539838,0,0.0
2005-07-16 21:00:00,1709.57,1414.5,1063.0,1404.92,1431.16,42.83302110141619,19.68,1253581.0,0.0,-0.0012356575463371433,0.0,-0.0012364216005940065,-295.06999999999994,-0.17259895763262104,1709.57,1417.55,0.0,2.196588263649284,-292.0199999999999,2.19658826364877,1709.57,1419.3375,0.0,7.0113981449751215,-290.23249999999996,7.011398144975311,1709.57,1406.2875,0.0,18.833223494754954,-303.28249999999997,18.83322349475492,0.0,-9.970966803182454e-12,0.0,-1.0614120046822164,5,7,-0.24477230089725957,-0.9695805901076308,0,-9.970966803182454e-12
2005-07-17 21:00:00,1709.57,1412.75,1270.5,1403.4,1430.2,42.83302110141619,19.68,1253581.0,0.0,-0.001237186284906322,0.0,-0.001237952231669226,-296.81999999999994,-0.17362260685435515,1709.57,1416.1,0.0,2.540915189454706,-293.4699999999999,2.540915189454294,1709.57,1419.525,0.0,6.766257225534466,-290.04499999999996,6.766257225534655,1709.57,1406.6166666666666,0.0,18.769535961924817,-302.95333333333326,18.76953596192478,9.01570740189004e-11,0.0,0.0,-0.8635601204261907,6,7,-0.2614143985111562,-0.965226663665613,0,0.0
2005-07-18 21:00:00,1709.57,1411.0,1478.0,1401.88,1429.24,42.83302110141619,19.68,1253581.0,0.0,-0.0012387188108299307,0.0,-0.0012394866571385776,-298.56999999999994,-0.17464625607608927,1709.57,1414.5,0.0,2.7669929526476142,-295.06999999999994,2.7669929526472545,1709.57,1418.975,0.0,6.997602973048222,-290.5949999999999,6.99760297304842,1709.57,1407.0666666666666,0.0,18.540374328097826,-302.5033333333333,18.54037432809779,-7.602633262165619e-11,0.0,1.3776293180293361e-12,-0.5877519420451589,0,7,-0.2779791393987801,-0.9605871111248129,0,0.0
2005-07-19 21:00:00,1709.57,1411.0,2426.0,1400.36,1428.28,42.83302110141619,19.68,1253581.0,0.0,0.0,0.0,0.0,-298.56999999999994,-0.17464625607608927,1709.57,1413.1,0.0,2.2817208418212567,-296.4699999999999,2.2817208418208366,1709.57,1419.125,0.0,6.778691458882688,-290.44499999999994,6.778691458882885,1709.57,1407.4958333333334,0.0,18.323568438236443,-302.0741666666666,18.323568438236403,0.0,0.0,0.0,0.44651375091637574,1,7,-0.2944616217868012,-0.9556633054034704,0,0.0
2005-07-20 21:00:00,1709.57,1408.0,1129.0,1398.84,1427.32,42.83302110141619,19.68,1253581.0,0.0,-0.002126151665485465,0.0,-0.0021284151348268665,-301.56999999999994,-0.17640108331334778,1709.57,1411.45,0.0,2.413503677229737,-298.11999999999995,2.4135036772293503,1709.57,1418.925,0.0,7.0534146265996,-290.6449999999999,7.053414626599793,1709.57,1407.8541666666667,0.0,18.115056692011834,-301.7158333333333,18.115056692011787,0.0,0.0,0.0,-0.8598648684229486,2,7,-0.3108569682435036,-0.9504567035349151,0,0.0
2005-07-21 21:00:00,1709.57,1382.0,5788.0,1397.32,1426.36,42.83302110141619,19.68,1253581.0,0.0,-0.01846590909090906,0.0,-0.018638532390371942,-327.56999999999994,-0.1916095860362547,1709.57,1404.95,0.0,12.942662013666348,-304.61999999999995,12.942662013666258,1709.57,1417.125,0.0,10.865354161398727,-292.44499999999994,10.865354161398871,1709.57,1407.7583333333334,0.0,18.2380078237326,-301.8116666666666,18.238007823732556,0.0,0.0,1.423687191408571e-12,2.9160010891370085,3,7,-0.3271603271220951,-0.9449688462364056,0,0.0
2005-07-22 21:00:00,1709.57,1377.75,4989.25,1395.8,1425.4,42.83302110141619,19.68,1253581.0,0.0,-0.0030752532561505452,0.0,-0.0030799915642711895,-331.81999999999994,-0.19409559128903756,1709.57,1397.95,0.0,16.61362392736763,-311.61999999999995,16.613623927367545,1709.57,1414.8125,0.0,13.839748961443762,-294.7574999999999,13.839748961443885,1709.57,1407.5708333333334,0.0,18.490211087855293,-301.9991666666666,18.490211087855247,-2.1088777107365407e-12,2.5591167774554407e-12,-1.3851143696134827e-12,1.9888827802362228,4,7,-0.34336687399638804,-0.939201357453208,0,2.5591167774554407e-12
2005-07-23 21:00:00,1709.57,1373.5,4190.5,1394.28,1424.44,42.83302110141619,19.68,1253581.0,0.0,-0.0030847396116857606,0.0,-0.003089507228016153,-336.06999999999994,-0.19658159654182042,1709.57,1390.45,0.0,17.679790722743373,-319.11999999999995,17.679790722743277,1709.57,1411.9875,0.0,16.150092675308343,-297.5824999999999,16.15009267530846,1709.57,1407.2625,0.0,18.903884061936026,-302.30749999999995,18.90388406193599,0.0,0.0,0.0,1.349113925668908,5,7,-0.3594718130884232,-0.9331559438780432,0,0.0
