date,spot_close,fut_close,volume,next_day_pred,next_month_pred,ffb_price,oer,production,spot_ret,fut_ret,log_ret_spot,log_ret_fut,basis,basis_pct,spot_ma_5,fut_ma_5,spot_std_5,fut_std_5,basis_mean_5,basis_std_5,spot_ma_20,fut_ma_20,spot_std_20,fut_std_20,basis_mean_20,basis_std_20,spot_ma_60,fut_ma_60,spot_std_60,fut_std_60,basis_mean_60,basis_std_60,hr_ols_5,hr_ols_20,hr_ols_60,volume_z,dayofweek,month,sin_doy,cos_doy,is_month_end,hedge_ratio_target,cov_5,varf_5,corr_5,ols_proxy_5,cov_20,varf_20,corr_20,ols_proxy_20,cov_60,varf_60,corr_60,ols_proxy_60,ols_proxy_diff_5_20,ols_proxy_diff_20_60,spot_ret_lag1,fut_ret_lag1,basis_lag1,spot_ret_lag5,fut_ret_lag5,basis_lag5,spot_ret_lag10,fut_ret_lag10,basis_lag10,vol_regime,target_hr,hr_now,target_dhr
2005-06-30 21:00:00,1709.57,1412.0,2508.0,1374.0,1419.75,42.83302110141619,19.68,1253581.0,,,0.0,0.0028368813351997,297.56999999999994,-0.1740613136636697,1709.57,1413.55,0.0,5.821297106316015,-296.0199999999999,5.821297106315668,1709.57,1410.8875,0.0,19.992510933373172,-298.68249999999995,19.992510933373264,1709.57,1403.2416666666666,0.0,18.352075037774085,-306.32833333333326,18.35207503777406,0.0,0.0,1.4060443531497317e-12,-0.856670057481589,3,6,0.0279502982402103,-0.999609314096404,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0
2005-07-01 21:00:00,1709.57,1418.0,2800.75,1372.0,1419.4583333333333,42.83302110141619,19.68,1253581.0,0.0,0.004249291784702569,0.0,0.0042402890388855,291.56999999999994,-0.1705516591891528,1709.57,1413.8,0.0,6.016643582596798,-295.7699999999999,6.01664358259646,1709.57,1412.9625,0.0,18.31922254009916,-296.6075,18.31922254009925,1709.57,1402.9916666666666,0.0,18.039326546739133,-306.57833333333326,18.03932654673911,1.607946434073542e-11,-1.4606038875352041e-12,1.4552202609104134e-12,-0.4993849748842398,4,7,0.0107513077635219,-0.9999422030204416,0,-1.4606038875352041e-12,,,,,,,,,,,,,,,,,297.56999999999994,,,,,,,0,0.0,-1.4606038875352041e-12,1.4606038875352041e-12
2005-07-02 21:00:00,1709.57,1424.0,3093.5,1370.0,1419.1666666666667,42.83302110141619,19.68,1253581.0,0.0,0.004231311706629048,0.0,0.0042223848798483,285.56999999999994,-0.1670420047146358,1709.57,1416.8,0.0,6.723094525588897,-292.7699999999999,6.72309452558858,1709.57,1415.25,0.0,16.525100525213567,-294.3199999999999,16.525100525213652,1709.57,1403.2083333333333,0.0,18.21436424835497,-306.3616666666666,18.214364248354947,0.0,0.0,0.0,-0.2011869112920193,5,7,-0.0064508641981051,-0.9999791929590824,0,0.0,,,,,,,,,,,,,,,0.0,0.004249291784702569,291.56999999999994,,,,,,,0,0.0,0.0,0.0
2005-07-03 21:00:00,1709.57,1430.0,3386.25,1368.0,1418.875,42.83302110141619,19.68,1253581.0,0.0,0.004213483146067398,0.0,0.0042046312820316,279.56999999999994,-0.1635323502401188,1709.57,1418.4,0.0,8.876936408469028,-291.17,8.876936408468815,1709.57,1417.75,0.0,14.57918487361141,-291.81999999999994,14.579184873611489,1709.57,1403.4916666666666,0.0,18.499253687801843,-306.07833333333326,18.49925368780181,7.386758999170709e-12,2.306110126570538e-12,0.0,0.0661997985895054,6,7,-0.0236511272452315,-0.9997202729664084,0,2.306110126570538e-12,,,,,,,,,,,,,,,0.0,0.004231311706629048,285.56999999999994,,,,,,,0,1.0003988658004325e-12,2.306110126570538e-12,-1.3057112607701055e-12
2005-07-04 21:00:00,1709.57,1436.0,3679.0,1366.0,1418.5833333333333,42.83302110141619,19.68,1253581.0,0.0,0.00419580419580412,0.0,0.0041870263542165,273.56999999999994,-0.1600226957656018,1709.57,1424.0,0.0,9.48683298050528,-285.56999999999994,9.4868329805051,1709.57,1420.7,0.0,11.555244878864269,-288.86999999999995,11.555244878864311,1709.57,1403.825,0.0,18.90421327802396,-305.74499999999995,18.90421327802393,6.467517879273962e-12,3.671032439013501e-12,-1.3251106864825806e-12,0.3941893591484103,0,7,-0.0408443915432961,-0.9991655196610107,0,3.671032439013501e-12,,,,,,,,,,,,,,,0.0,0.004213483146067398,279.56999999999994,,,,,,,0,0.0,3.671032439013501e-12,-3.671032439013501e-12
2005-07-05 21:00:00,1709.57,1429.0,3169.0,1364.0,1418.2916666666667,42.83302110141619,19.68,1253581.0,0.0,-0.004874651810584996,0.0,-0.0048865716783019,280.56999999999994,-0.1641172926525383,1709.57,1427.4,0.0,6.7675697262756485,-282.17,6.767569726275401,1709.57,1422.4,0.0,9.967182994311758,-287.17,9.9671829943118,1709.57,1403.9875,0.0,19.08014014312673,-305.5824999999999,19.08014014312671,0.0,-4.934028632966286e-12,-1.3007871937308385e-12,-0.3069220721602779,1,7,-0.0580255693287803,-0.9983150972033183,0,-4.934028632966286e-12,-0.0,1.655193225555717e-05,,-0.0,,,,,,,,,,,0.0,0.00419580419580412,273.56999999999994,,,297.56999999999994,,,,0,1.0305023026368737e-12,-4.934028632966286e-12,5.964530935603159e-12
2005-07-06 21:00:00,1709.57,1411.0,3210.0,1362.0,1418.0,42.83302110141619,19.68,1253581.0,0.0,-0.01259622113365988,0.0,-0.0126762260770529,298.56999999999994,-0.1746462560760892,1709.57,1426.0,0.0,9.407443861113515,-283.56999999999994,9.407443861113356,1709.57,1422.5,0.0,9.834819988719596,-287.0699999999999,9.83481998871964,1709.57,1403.7958333333331,0.0,18.94832914163904,-305.77416666666664,18.94832914163901,0.0,5.067732687338071e-12,0.0,-0.2028238876787527,2,7,-0.0751895764147585,-0.9971692572470178,0,5.067732687338071e-12,0.0,5.7755729942823774e-05,,0.0,,,,,,,,,,,0.0,-0.004874651810584996,280.56999999999994,0.0,0.004249291784702569,291.56999999999994,,,,0,0.0,5.067732687338071e-12,-5.067732687338071e-12
2005-07-07 21:00:00,1709.57,1417.0,1628.0,1420.0,1377.0,42.83302110141619,19.68,1253581.0,0.0,0.00425230333097093,0.0,0.0042432878378662,292.56999999999994,-0.1711366016015723,1709.57,1424.6,0.0,10.261578825892348,-284.9699999999999,10.261578825892212,1709.57,1422.7375,0.0,9.629476061059526,-286.8324999999999,9.629476061059568,1709.57,1403.65,0.0,18.809662140254108,-305.92,18.809662140254083,0.0,0.0,-1.3384661230245817e-12,-2.041909390536636,3,7,-0.0923313336953912,-0.9957283388645872,0,0.0,0.0,5.781036865490054e-05,,0.0,,,,,,,,,,,0.0,-0.01259622113365988,298.56999999999994,0.0,0.004231311706629048,285.56999999999994,,,,0,0.0,0.0,0.0
2005-07-08 21:00:00,1709.57,1418.5,1572.5,1402.0,1413.5,42.83302110141619,19.68,1253581.0,0.0,0.0010585744530697827,0.0,0.0010580145582252,291.06999999999994,-0.170259187982943,1709.57,1422.3,0.0,10.034938963441778,-287.2699999999999,10.034938963441656,1709.57,1422.8875,0.0,9.533691986566849,-286.68249999999995,9.533691986566891,1709.57,1403.475,0.0,18.61767999710428,-306.095,18.617679997104247,0.0,-5.392923947185656e-12,1.3662124872953028e-12,-1.8066288613457568,4,7,-0.1094457686489155,-0.993992768446958,0,-5.392923947185656e-12,0.0,5.1637196479954757e-05,,0.0,,,,,,,,,,,0.0,0.00425230333097093,292.56999999999994,0.0,0.004213483146067398,279.56999999999994,,,,0,0.0,-5.392923947185656e-12,5.392923947185656e-12
2005-07-09 21:00:00,1709.57,1420.0,1517.0,1384.0,1450.0,42.83302110141619,19.68,1253581.0,0.0,0.0010574550581601283,0.0,0.0010568963464008,289.56999999999994,-0.1693817743643138,1709.57,1419.1,0.0,6.503845016603778,-290.4699999999999,6.503845016603602,1709.57,1422.95,0.0,9.509206065702442,-286.61999999999995,9.509206065702482,1709.57,1403.725,0.0,18.738821526536565,-305.8449999999999,18.73882152653654,0.0,-5.420732940154299e-12,0.0,-1.6295104875377595,5,7,-0.1265278168386831,-0.9919630595773395,0,-5.420732940154299e-12,0.0,4.4523653117576765e-05,,0.0,,,,,,,,,,,0.0,0.0010585744530697827,291.06999999999994,0.0,0.00419580419580412,273.56999999999994,,,,0,0.0,-5.420732940154299e-12,5.420732940154299e-12
2005-07-10 21:00:00,1709.57,1421.5,1461.5,1405.5,1422.5,42.83302110141619,19.68,1253581.0,0.0,0.0010563380281689572,0.0,0.001055780495748,288.06999999999994,-0.1685043607456845,1709.57,1417.6,0.0,4.0527768258320895,-291.9699999999999,4.052776825831834,1709.57,1422.925,0.0,9.512491787118249,-286.64499999999987,9.51249178711829,1709.57,1403.85,0.0,18.83330083493022,-305.7199999999999,18.8333008349302,3.543845413300557e-11,0.0,0.0,-1.4898177248059532,6,7,-0.1435724234118113,-0.9896398128792412,0,0.0,0.0,4.3688131285993855e-05,,0.0,,,,,,,,,,,0.0,0.0010574550581601283,289.56999999999994,0.0,-0.004874651810584996,280.56999999999994,,,297.56999999999994,0,3.2908779541277284e-12,0.0,3.2908779541277284e-12
2005-07-11 21:00:00,1709.57,1423.0,1406.0,1427.0,1395.0,42.83302110141619,19.68,1253581.0,0.0,0.0010552233556102575,0.0,0.0010546669987974,286.56999999999994,-0.1676269471270553,1709.57,1420.0,0.0,2.3717082451266664,-289.56999999999994,2.371708245126181,1709.57,1422.425,0.0,9.213155639741322,-287.1449999999999,9.21315563974138,1709.57,1404.1166666666666,0.0,18.99127066791269,-305.4533333333332,18.99127066791267,0.0,0.0,0.0,-1.3814143708899451,0,7,-0.1605745445949937,-0.9870237158387384,0,0.0,0.0,2.0421249586315474e-06,,0.0,,,,,,,,,,,0.0,0.0010563380281689572,288.06999999999994,0.0,-0.01259622113365988,298.56999999999994,0.0,0.004249291784702569,291.56999999999994,0,0.0,0.0,0.0
2005-07-12 21:00:00,1709.57,1420.0,1224.0,1411.0,1435.0,42.83302110141619,19.68,1253581.0,0.0,-0.0021082220660576523,0.0,-0.0021104474945454,289.56999999999994,-0.1693817743643138,1709.57,1420.6,0.0,1.7102631376492317,-288.9699999999999,1.7102631376485649,1709.57,1421.625,0.0,8.649802249032074,-287.94499999999994,8.649802249032167,1709.57,1404.4375,0.0,19.09574587684965,-305.13249999999994,19.095745876849627,1.9900055013139038e-10,0.0,0.0,-1.391056109746724,1,7,-0.1775291491870349,-0.984115542601034,0,0.0,-0.0,2.003598216471967e-06,,-0.0,,,,,,,,,,,0.0,0.0010552233556102575,286.56999999999994,0.0,0.00425230333097093,292.56999999999994,0.0,0.004231311706629048,285.56999999999994,0,0.0,0.0,0.0
