date,price
2005-09-30,1709.57
2005-10-01,1711.324193548387
2005-10-02,1713.0783870967741
2005-10-03,1714.8325806451612
2005-10-04,1716.5867741935483
2005-10-05,1718.3409677419354
2005-10-06,1720.0951612903225
2005-10-07,1721.8493548387096
2005-10-08,1723.6035483870967
2005-10-09,1725.3577419354838
2005-10-10,1727.1119354838709
2005-10-11,1728.866129032258
2005-10-12,1730.620322580645
2005-10-13,1732.3745161290321
2005-10-14,1734.1287096774192
2005-10-15,1735.8829032258063
2005-10-16,1737.6370967741937
2005-10-17,1739.3912903225807
2005-10-18,1741.1454838709678
2005-10-19,1742.899677419355
2005-10-20,1744.653870967742
2005-10-21,1746.4080645161291
2005-10-22,1748.1622580645162
2005-10-23,1749.9164516129033
2005-10-24,1751.6706451612904
2005-10-25,1753.4248387096775
2005-10-26,1755.1790322580646
2005-10-27,1756.9332258064517
2005-10-28,1758.6874193548388
2005-10-29,1760.4416129032259
2005-10-30,1762.195806451613
2005-10-31,1763.95
2005-11-01,1763.9436666666668
2005-11-02,1763.9373333333333
2005-11-03,1763.931
2005-11-04,1763.9246666666668
2005-11-05,1763.9183333333333
2005-11-06,1763.912
2005-11-07,1763.9056666666668
2005-11-08,1763.8993333333333
2005-11-09,1763.893
2005-11-10,1763.8866666666668
2005-11-11,1763.8803333333333
2005-11-12,1763.874
2005-11-13,1763.8676666666668
2005-11-14,1763.8613333333333
2005-11-15,1763.855
2005-11-16,1763.8486666666668
2005-11-17,1763.8423333333333
2005-11-18,1763.836
2005-11-19,1763.8296666666668
2005-11-20,1763.8233333333333
2005-11-21,1763.817
2005-11-22,1763.8106666666667
2005-11-23,1763.8043333333333
2005-11-24,1763.798
2005-11-25,1763.7916666666667
2005-11-26,1763.7853333333333
2005-11-27,1763.779
2005-11-28,1763.7726666666667
2005-11-29,1763.7663333333333
2005-11-30,1763.76
2005-12-01,1762.5351612903225
2005-12-02,1761.310322580645
2005-12-03,1760.0854838709677
2005-12-04,1758.8606451612902
2005-12-05,1757.6358064516128
2005-12-06,1756.4109677419356
2005-12-07,1755.1861290322581
2005-12-08,1753.9612903225807
2005-12-09,1752.7364516129032
2005-12-10,1751.5116129032258
2005-12-11,1750.2867741935484
2005-12-12,1749.061935483871
2005-12-13,1747.8370967741935
2005-12-14,1746.612258064516
2005-12-15,1745.3874193548386
2005-12-16,1744.1625806451614
2005-12-17,1742.937741935484
2005-12-18,1741.7129032258065
2005-12-19,1740.488064516129
2005-12-20,1739.2632258064516
2005-12-21,1738.0383870967742
2005-12-22,1736.8135483870967
2005-12-23,1735.5887096774193
2005-12-24,1734.3638709677418
2005-12-25,1733.1390322580644
2005-12-26,1731.9141935483872
2005-12-27,1730.6893548387097
2005-12-28,1729.4645161290323
2005-12-29,1728.2396774193548
2005-12-30,1727.0148387096774
2005-12-31,1725.79
2006-01-01,1725.6664516129033
2006-01-02,1725.5429032258064
2006-01-03,1725.4193548387098
2006-01-04,1725.2958064516129
2006-01-05,1725.1722580645162
2006-01-06,1725.0487096774193
2006-01-07,1724.9251612903226
2006-01-08,1724.8016129032258
2006-01-09,1724.678064516129
2006-01-10,1724.5545161290322
2006-01-11,1724.4309677419355
2006-01-12,1724.3074193548387
2006-01-13,1724.183870967742
2006-01-14,1724.060322580645
2006-01-15,1723.9367741935484
2006-01-16,1723.8132258064516
2006-01-17,1723.689677419355
2006-01-18,1723.566129032258
2006-01-19,1723.4425806451613
2006-01-20,1723.3190322580645
2006-01-21,1723.1954838709678
2006-01-22,1723.071935483871
2006-01-23,1722.9483870967742
2006-01-24,1722.8248387096774
2006-01-25,1722.7012903225807
2006-01-26,1722.5777419354838
2006-01-27,1722.4541935483871
2006-01-28,1722.3306451612902
2006-01-29,1722.2070967741936
2006-01-30,1722.0835483870967
2006-01-31,1721.96
2006-02-01,1723.5117857142857
2006-02-02,1725.0635714285715
2006-02-03,1726.6153571428572
2006-02-04,1728.1671428571428
2006-02-05,1729.7189285714287
2006-02-06,1731.2707142857143
2006-02-07,1732.8225
2006-02-08,1734.3742857142859
2006-02-09,1735.9260714285715
2006-02-10,1737.4778571428571
2006-02-11,1739.029642857143
2006-02-12,1740.5814285714287
2006-02-13,1742.1332142857143
2006-02-14,1743.685
2006-02-15,1745.2367857142858
2006-02-16,1746.7885714285715
2006-02-17,1748.340357142857
2006-02-18,1749.892142857143
2006-02-19,1751.4439285714286
2006-02-20,1752.9957142857143
2006-02-21,1754.5475000000001
2006-02-22,1756.0992857142858
2006-02-23,1757.6510714285714
2006-02-24,1759.2028571428573
2006-02-25,1760.754642857143
2006-02-26,1762.3064285714286
